Team 1 Score,Predicted Team 1 Score,Team 2 Score,Predicted Team 2 Score
57,,56,
79,,56,
66,,65,
67,,65,
69,,65,
75,,72,
60,,59,
60,,59,
57,,50,
93,,52,
76,,57,
66,,53,
85,,56,
86,,76,
83,,52,
75,,56,
57,,55,
65,,62,
70,,63,
71,,54,
69,,60,
79,,73,
76,,64,
79,,67,
68,,62,
81,,76,
86,,72,
73,,58,
64,,51,
71,,68,
87,,78,
67,,64,
92,,75,
75,,64,
75,,67,
68,,49,
87,,68,
66,,53,
60,,54,
72,,66,
69,,59,
78,,65,
72,,65,
68,,60,
78,,39,
81,,70,
79,,72,
63,,57,
74,,62,
75,,65,
62,,58,
68,,66,
85,,78,
66,,52,
76,,70,
81,,61,
71,,64,
68,,63,
96,,65,
70,,50,
59,,55,
67,,62,
85,,83,
71,,61,
74,,67,
93,,85,
68,,52,
99,,74,
94,,81,
105,,79,
85,,57,
79,,72,
83,,67,
70,,69,
80,,69,
81,,45,
65,,55,
79,,75,
77,,66,
72,,70,
79,,74,
90,,81,
75,,72,
70,,63,
82,,68,
91,,52,
70,,56,
78,,76,
70,,51,
92,,65,
75,,67,
86,,56,
47,,43,
71,,53,
71,,64,
82,,59,
73,,67,
78,,61,
73,,61,
65,,57,
85,,66,
77,,69,
73,,60,
76,,75,
85,,81,
69,,64,
75,,50,
92,,88,
87,,68,
66,,63,
79,,63,
77,,63,
82,,68,
92,,69,
101,,86,
61,,56,
63,,60,
84,,71,
80,,68,
64,,59,
88,,74,
68,,62,
83,,66,
95,,51,
77,,74,
95,,88,
67,,66,
67,,63,
75,,71,
100,,82,
76,,64,
80,,65,
86,,80,
66,,46,
84,,73,
81,,72,
68,,66,
60,,58,
80,,70,
85,,77,
76,,56,
76,,71,
86,,80,
84,,74,
76,,65,
77,,71,
91,,73,
75,,61,
87,,65,
100,,62,
79,,70,
78,,63,
92,,91,
78,,58,
103,,64,
93,,77,
84,,72,
93,,73,
97,,80,
66,,65,
64,,58,
69,,60,
74,,65,
65,,39,
79,,73,
80,,76,
83,,71,
65,,62,
91,,66,
82,,78,
90,,70,
65,,62,
73,,69,
72,,65,
75,,72,
88,,81,
79,,67,
61,,58,
98,,66,
69,,68,
73,,71,
84,,83,
86,,75,
92,,80,
70,,50,
83,,59,
74,,60,
75,,73,
77,,70,
77,,73,
77,,76,
71,,65,
71,,61,
65,,58,
60,,56,
64,,46,
86,,83,
89,,68,
89,,67,
77,,62,
68,,64,
67,,65,
76,,60,
78,,73,
64,,62,
61,,47,
81,,73,
83,,78,
94,,83,
73,,47,
70,,60,
87,,61,
62,,58,
79,,62,
68,,53,
79,,68,
67,,54,
69,,59,
81,,75,
82,,78,
87,,83,
84,,66,
74,,48,
57,,52,
73,,69,
74,,54,
85,,68,
102,,83,
87,,62,
90,,84,
83,,79,
95,,75,
63,,62,
64,,63,
69,,66,
81,,58,
84,,53,
75,,70,
50,,43,
75,,73,
76,,73,
55,,53,
86,,65,
94,,71,
75,,60,
61,,58,
69,,68,
99,,72,
69,,65,
80,,76,
78,,65,
90,,78,
78,,62,
58,,54,
85,,81,
71,,59,
69,,57,
95,,79,
79,,62,
81,,70,
82,,76,
74,,65,
78,,74,
78,,77,
78,,69,
70,,61,
76,,69,
87,,49,
87,,53,
79,,44,
79,,74,
79,,77,
74,,55,
76,,65,
86,,76,
83,,64,
61,,48,
61,,57,
84,,68,
91,,74,
85,,62,
84,,55,
79,,72,
80,,76,
88,,73,
62,,59,
95,,72,
72,,54,
77,,70,
72,,57,
70,,64,
73,,58,
71,,56,
66,,52,
78,,61,
89,,75,
90,,62,
83,,71,
62,,56,
69,,67,
64,,49,
70,,50,
87,,61,
77,,76,
74,,59,
81,,59,
73,,54,
83,,77,
78,,58,
63,,51,
67,,58,
72,,58,
99,,94,
63,,44,
53,,49,
97,,80,
75,,73,
62,,58,
80,,63,
75,,69,
80,,75,
77,,71,
68,,67,
61,,51,
63,,62,
85,,77,
53,,52,
54,,53,
60,,52,
86,,80,
85,,68,
79,,55,
75,,70,
87,,56,
78,,49,
71,,60,
78,,69,
69,,60,
75,,72,
70,,56,
60,,56,
78,,62,
65,,53,
73,,63,
84,,67,
85,,62,
53,,52,
68,,55,
96,,73,
63,,62,
64,,54,
98,,55,
86,,74,
93,,84,
76,,61,
63,,54,
82,,66,
62,,58,
72,,68,
73,,62,
72,,56,
68,,66,
76,,63,
63,,60,
71,,58,
81,,78,
80,,70,
75,,72,
84,,61,
96,,77,
72,,58,
71,,53,
87,,71,
86,,78,
95,,80,
67,,47,
85,,51,
72,,70,
62,,51,
62,,46,
65,,58,
83,,65,
76,,58,
88,,78,
82,,68,
81,,72,
67,,61,
85,,66,
51,,49,
78,,59,
93,,90,
86,,70,
66,,58,
76,,67,
89,,87,
93,,82,
75,,71,
85,,49,
72,,69,
93,,72,
83,,56,
64,,53,
75,,63,
92,,87,
70,,63,
95,,63,
66,,57,
67,,63,
82,,53,
85,,79,
88,,56,
57,,53,
87,,70,
80,,61,
78,,61,
82,,68,
54,,53,
59,,54,
68,,66,
74,,73,
78,,64,
54,,41,
78,,56,
69,,42,
81,,73,
97,,62,
80,,60,
67,,60,
53,,48,
82,,78,
79,,72,
76,,68,
93,,86,
79,,51,
70,,60,
72,,56,
85,,80,
85,,76,
68,,53,
54,,49,
79,,61,
81,,71,
59,,53,
71,,61,
74,,68,
78,,73,
72,,60,
63,,55,
66,,61,
70,,56,
73,,66,
67,,64,
78,,69,
50,,44,
76,,50,
69,,49,
81,,65,
81,,77,
72,,69,
60,,59,
75,,71,
98,,73,
84,,61,
96,,75,
73,,63,
83,,75,
74,,51,
68,,67,
63,,52,
96,,68,
67,,65,
76,,65,
75,,67,
76,,59,
59,,55,
63,,57,
58,,55,
81,,61,
86,,53,
74,,56,
87,,63,
72,,63,
63,,58,
66,,65,
82,,70,
71,,60,
77,,65,
61,,53,
78,,61,
63,,56,
72,,62,
59,,41,
63,,51,
72,,70,
72,,67,
73,,51,
72,,71,
81,,64,
78,,63,
75,,52,
65,,52,
71,,66,
68,,63,
70,,55,
85,,76,
78,,70,
84,,81,
75,,69,
85,,69,
69,,60,
84,,73,
88,,65,
62,,55,
79,,76,
98,,93,
86,,75,
89,,75,
71,,64,
83,,71,
82,,54,
79,,76,
88,,81,
57,,56,
72,,59,
72,,71,
76,,59,
