Rank,Tournament Rank,Team Name,Conference,Wins,Losses,AdjEM,AdjO,AdjO Rank,AdjD,AdjD Rank,AdjT,AdjT Rank,Luck,Luck Rank,SS AdjEM,SS AdjEM Rank,SS OppO,SS OppO Rank,SS OppD,SS OppD Rank,NCSOS AdjEM,NCSOS AdjEM Rank
239,N/A,Marshall,SB,13,20,-5.39,101.5,261,106.8,189,70.3,45,-.013,221,+0.01,164,106.7,151,106.7,202,+2.07,131
240,N/A,North Florida,ASun,16,16,-5.43,107.2,158,112.6,317,67.0,204,-.007,203,-3.31,266,106.1,183,109.4,352,+1.04,164
241,N/A,Bowling Green,MAC,20,13,-5.46,102.4,248,107.9,211,67.5,166,+.064,47,-5.45,314,103.0,299,108.5,306,-5.41,325
242,N/A,Florida Gulf Coast,ASun,14,18,-5.47,103.3,233,108.8,231,63.7,341,-.054,306,-2.21,228,106.9,145,109.2,339,+4.81,73
243,N/A,Southern Miss,SB,16,16,-5.63,101.3,264,107.0,194,67.9,144,+.055,58,-0.62,185,105.7,197,106.3,182,+1.46,151
244,N/A,Albany,AE,13,19,-5.71,105.3,196,111.0,277,73.0,6,-.079,337,-3.08,259,103.0,300,106.1,168,-3.06,279
245,N/A,New Hampshire,AE,16,15,-5.85,100.0,288,105.9,170,71.3,24,+.077,25,-2.22,229,104.3,265,106.5,188,+0.46,184
246,N/A,Cal St. Bakersfield,BW,13,19,-5.87,101.2,266,107.1,196,64.7,319,-.035,277,-1.00,195,105.6,204,106.6,197,+0.36,189
247,N/A,San Jose St.,MWC,9,23,-5.92,105.9,183,111.8,294,65.7,275,-.038,283,+5.46,92,109.6,88,104.2,101,-3.74,291
248,N/A,Portland St.,BSky,17,15,-5.94,99.7,292,105.6,161,69.2,77,+.033,104,-2.99,255,105.7,200,108.7,317,-0.62,216
249,N/A,Mount St. Mary's,MAAC,13,19,-6.00,102.5,246,108.5,224,69.0,89,-.118,361,-6.04,324,101.5,338,107.6,257,-5.40,324
250,N/A,North Alabama,ASun,15,17,-6.10,105.8,184,111.9,298,67.8,155,+.009,161,-2.87,250,106.0,184,108.9,330,+2.27,127
251,N/A,Southern Utah,WAC,10,21,-6.18,105.8,185,112.0,300,69.5,70,-.076,332,+0.56,148,104.7,251,104.1,99,+2.38,121
252,N/A,Northeastern,CAA,12,20,-6.24,105.3,197,111.5,290,65.7,276,-.018,232,-1.11,199,105.7,198,106.8,209,+1.21,157
